id,value,timestamp,description,category,priority
31,654.32,2024-01-05 09:00:00,"Data security audit","IT","High"
32,789.01,2024-01-05 10:15:00,"International market expansion","Sales","High"
33,432.10,2024-01-05 11:30:00,"Customer loyalty program","Customer Service","Medium"
34,876.54,2024-01-05 13:45:00,"Video marketing campaign","Marketing","Medium"
35,543.21,2024-01-05 14:30:00,"Leadership training program","HR","High"
36,198.76,2024-01-05 15:45:00,"Annual budget review","Finance","Critical"
37,654.32,2024-01-05 16:30:00,"E-commerce platform upgrade","IT","High"
38,987.65,2024-01-06 09:15:00,"Seasonal sales promotion","Sales","Medium"
39,321.98,2024-01-06 10:30:00,"Support process optimization","Customer Service","Low"
40,765.43,2024-01-06 11:45:00,"Social media analytics","Marketing","Medium"
41,432.10,2024-01-06 13:00:00,"Remote work policy update","HR","High"
42,876.54,2024-01-06 14:15:00,"Financial risk assessment","Finance","Critical"
43,543.21,2024-01-06 15:30:00,"Cloud migration project","IT","Critical"
44,198.76,2024-01-06 16:45:00,"Customer win-back campaign","Sales","High"
45,654.32,2024-01-06 17:00:00,"Service level agreement review","Customer Service","Medium"
