id,value,timestamp,description,category
1,157.23,2024-01-01 09:00:00,"Annual financial report review","Finance"
2,293.45,2024-01-01 10:30:00,"Quarterly sales analysis","Sales"
3,432.18,2024-01-01 11:45:00,"Customer feedback summary","Customer Service"
4,567.89,2024-01-01 13:15:00,"Product launch presentation","Marketing"
5,123.45,2024-01-01 14:30:00,"Team performance evaluation","HR"
6,789.12,2024-01-01 15:45:00,"Market research findings","Marketing"
7,234.56,2024-01-01 16:00:00,"Budget planning meeting","Finance"
8,678.90,2024-01-02 09:30:00,"Sales team training","Sales"
9,345.67,2024-01-02 10:45:00,"Customer survey results","Customer Service"
10,891.23,2024-01-02 11:30:00,"Social media campaign","Marketing"
11,456.78,2024-01-02 13:45:00,"Employee onboarding process","HR"
12,912.34,2024-01-02 14:15:00,"Investment portfolio review","Finance"
13,567.89,2024-01-02 15:30:00,"Sales forecast report","Sales"
14,234.56,2024-01-02 16:45:00,"Support ticket analysis","Customer Service"
15,789.01,2024-01-02 17:00:00,"Brand awareness study","Marketing"
