id,value,timestamp,description,category
1,100,2024-01-01 00:00:00,"Simple text","A"
2,200.5,2024-01-02 12:30:45,"Text with, comma inside","B"
3,true,2024-01-03 15:20:30,"Text with ""quotes"" inside","A"
4,"Hello, World!",2024-01-04 08:15:00,"Mixed case TEXT and numbers 123","C"
5,,2024-01-05 09:00:00,"Unicode characters: 你好世界","a"
6,null,2024-01-06 10:45:00,"Special chars: @#$%^&*()",
7,{"key": "value"},2024-01-07 14:20:00,"Multi
line
text","B/SubCategory1"
8,-999.99,2024-01-08 16:30:00,"Very                  long             spaces","A/SubCategory1"
9,1e6,2024-01-09 18:45:00,"HTML-like <tag>content</tag>","C/SubCategory2"
10,2024-01-10,2024-01-10 20:00:00,"URL: https://example.com/path?param=value","unknown"
11,inf,2024-01-11 22:15:00,"Emoji content: 🌟 ⭐ 🌍","B/SubCategory2"
12,"  leading spaces  ",2024-01-12 23:59:59,"Mixed scripts: English與中文","UNDEFINED"
13,"line1
line2",2024-01-13 01:30:00,"    Text with leading spaces","N/A"
14,#special@chars$,2024-01-14 03:45:00,"Text with trailing spaces    ","A/SubCategory2"
15,123abc,2024-01-15 05:00:00,"🏠 Home sweet home 🏠","Other"
